src,title,url,date,pic_url
經濟日報 記者蕭君暉、尹慧中、林薏茹／台北報導,AI教父黃仁勳來了 預期將私下拜會台積、鴻海、廣達高層,https://money.udn.com/money/story/5612/7989996?from=edn_hottestlist_rank,2024-05-27 03:30,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/26/realtime/29717023.jpg&s=Y&x=122&y=0&sw=1173&sh=783&sl=W&fw=300&exp=3600
經濟日報 本報即時報導,台北國際電腦展倒數計時 輝達執行長黃仁勳26日提前來台,https://money.udn.com/money/story/5612/7989824?from=edn_hottestlist_rank,2024-05-26 22:19,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/26/realtime/29716945.jpg&s=Y&x=0&y=76&sw=943&sh=628&sl=W&fw=300&exp=3600
經濟日報 新聞部新媒體中心,周末精選1／生成影音新需求帶旺 GPU 訂單 黃仁勳預期 AI 下件大事來了,https://money.udn.com/money/story/5612/7989376?from=edn_hottestlist_rank,2024-05-26 16:06,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/realtime/29709601.jpg&s=Y&x=0&y=0&sw=1700&sh=1133&sl=W&fw=300&exp=3600
經濟日報 新聞部新媒體中心,周末精選／黃仁勳預期 AI 下件大事來了 生成影音新需求帶旺 GPU 訂單,https://money.udn.com/money/story/5612/7989341?from=edn_hottestlist_rank,2024-05-26 15:58,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/realtime/29709601.jpg&s=Y&x=0&y=0&sw=1700&sh=1133&sl=W&fw=300&exp=3600
經濟日報 記者蕭君暉、吳凱中、陳昱翔／台北報導,鴻海進擊 AI 機器人動起來 三路進擊全球商機,https://money.udn.com/money/story/11162/7989966?from=edn_hottestlist_rank,2024-05-27 03:13,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/09/2/29636093.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者李孟珊／台北報導,美對陸課重稅、網通市況回溫 聯電海內外訂單大回籠,https://money.udn.com/money/story/11162/7989985?from=edn_hottestlist_rank,2024-05-27 03:02,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/19/2/29480385.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者吳凱中／台北報導,鴻海衝刺機器人事業 廣達、佳世達搶食商機,https://money.udn.com/money/story/11162/7989972?from=edn_hottestlist_rank,2024-05-27 03:10,https://udn.com/upf/2017_news/noimg_cid1001_6.jpg
經濟日報 記者蘇嘉維／台北即時報導,矽統股東會／董座洪嘉聰調整營運體質：公司將進行現金減資,https://money.udn.com/money/story/5612/7990720?from=edn_hottestlist_rank,2024-05-27 11:42,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/03/2/29362691.jpg&s=Y&x=0&y=112&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者蕭君暉、謝柏宏、吳凱中／台北報導,台北電腦展好戲連台 輝達 CEO 黃仁勳演講六大咖捧場,https://money.udn.com/money/story/5612/7989976?from=edn_hottestlist_rank,2024-05-27 03:06,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/realtime/29709601.jpg&s=Y&x=0&y=0&sw=1700&sh=1133&sl=W&fw=300&exp=3600
經濟日報 記者魏鑫陽／台北報導,材料董座王克璋專訪／大擴張 迎五年成長期,https://money.udn.com/money/story/10871/7989759?from=edn_hottestlist_rank,2024-05-27 02:57,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/26/realtime/29716827.jpg&s=Y&x=472&y=52&sw=1228&sh=819&sl=W&fw=300&exp=3600
