src,pic_url,title,url,date
經濟日報 記者尹慧中／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/17/realtime/29671678.jpg&s=Y&x=0&y=0&sw=4068&sh=2662&sl=W&fw=300&exp=3600,大客戶包下產能訂單滿到2026 台積電3奈米掀搶購潮,https://money.udn.com/money/story/5612/8021970?from=edn_hottestlist_rank,2024-06-11 03:30
經濟日報 記者黃淑惠／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/realtime/29795390.jpg&s=Y&x=0&y=0&sw=1889&sh=1259&sl=W&fw=300&exp=3600,全球貨櫃荒難解 長榮、陽明擬加徵延期租櫃費,https://money.udn.com/money/story/10871/8021888?from=edn_hottestlist_rank,2024-06-11 02:45
經濟日報 記者周克威／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/2/29707970.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600,SCFI 連九漲！再掀法人上調航海王獲利潮,https://money.udn.com/money/story/5612/8021639?from=edn_hottestlist_rank,2024-06-10 19:17
經濟日報 記者蘇嘉維／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/realtime/29795473.jpg&s=Y&x=25&y=0&sw=894&sh=596&sl=W&fw=300&exp=3600,聯發科強攻 AI 攜手 Meta 力抗蘋果、高通陣營,https://money.udn.com/money/story/5612/8021965?from=edn_hottestlist_rank,2024-06-11 03:13
經濟日報 記者邱琮皓／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/08/realtime/29782443.jpg&s=Y&x=0&y=0&sw=4000&sh=2668&sl=W&fw=300&exp=3600,台積電進駐嘉義園區南科解套 有望爭取輝達、超微設點,https://money.udn.com/money/story/11162/8021980?from=edn_hottestlist_rank,2024-06-11 03:05
經濟日報 記者蘇嘉維／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg,3D影像市場 台積電旗下采鈺通吃關鍵製程大單,https://money.udn.com/money/story/5612/8021968?from=edn_hottestlist_rank,2024-06-11 03:11
經濟日報 記者蕭君暉、林薏茹／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/04/2/29370637.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600,"AI 伺服器需求旺 五大代工廠要徵2,500人...搶才大戰一觸即發",https://money.udn.com/money/story/5612/8021969?from=edn_hottestlist_rank,2024-06-11 03:09
經濟日報 記者鐘惠玲／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/08/realtime/29782443.jpg&s=Y&x=0&y=0&sw=4000&sh=2668&sl=W&fw=300&exp=3600,台積電獨步武林 三星、英特爾想追趕有多不容易？,https://money.udn.com/money/story/5612/8021613?from=edn_hottestlist_rank,2024-06-10 18:53
經濟日報 記者林政鋒/高雄即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/realtime/29794395.jpg&s=Y&x=0&y=0&sw=1560&sh=1040&sl=W&fw=300&exp=3600,中鋼競技龍舟隊將在5:30參與決賽 奪冠呼聲高！,https://money.udn.com/money/story/5612/8021522?from=edn_hottestlist_rank,2024-06-10 17:13
經濟日報 記者吳康瑋／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/realtime/29794346.jpg&s=Y&x=0&y=5&sw=771&sh=514&sl=W&fw=300&exp=3600,黃仁勳憂缺電？緯穎董座認：全球企業的共同課題,https://money.udn.com/money/story/5612/8021501?from=edn_hottestlist_rank,2024-06-10 16:50
經濟日報 記者黃晶琳／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/2/29795750.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600,OTT訂閱戶超車有線電視 躍最大付費收視管道,https://money.udn.com/money/story/10871/8021866?from=edn_hottestlist_rank,2024-06-11 00:47
經濟日報 新聞部新媒體中心,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/2/29790972.jpg&s=Y&x=0&y=86&sw=897&sh=598&sl=W&fw=300&exp=3600,連假精選3／航商示警艙位供需失衡、全球塞港！運價看漲 慧洋、裕民等受惠,https://money.udn.com/money/story/10871/8021586?from=edn_hottestlist_rank,2024-06-10 18:11
經濟日報 記者宋健生/台中即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/realtime/29794493.jpg&s=Y&x=0&y=11&sw=1477&sh=984&sl=W&fw=300&exp=3600,雷虎科技推出商用無人機地面站 進軍歐美無人機巿場,https://money.udn.com/money/story/5612/8021547?from=edn_hottestlist_rank,2024-06-10 17:49
經濟日報 記者黃淑惠、周克威／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg,SCFI 連九漲 法人上修航海王獲利,https://money.udn.com/money/story/10871/8021891?from=edn_hottestlist_rank,2024-06-11 02:43
經濟日報 記者林薏茹／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_7.jpg,廣達、緯穎伺服器營收飆,https://money.udn.com/money/story/5612/8021975?from=edn_hottestlist_rank,2024-06-11 03:06
經濟日報 特派記者邱馨儀／柏林11日電,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29797528.jpg&s=Y&x=0&y=11&sw=1477&sh=984&sl=W&fw=300&exp=3600,台積電赴德設廠 歐美日大廠搶攻商機,https://money.udn.com/money/story/5612/8022517?from=edn_hottestlist_rank,2024-06-11 10:28
經濟日報 記者鐘惠玲／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/realtime/29795271.jpg&s=Y&x=0&y=0&sw=1417&sh=945&sl=W&fw=300&exp=3600,M31董座陳慧玲、總座張原熏專訪／研發前瞻技術 動能強,https://money.udn.com/money/story/11162/8021816?from=edn_hottestlist_rank,2024-06-11 03:00
經濟日報 特派記者邱馨儀／柏林10日電,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/realtime/29794605.jpg&s=Y&x=0&y=11&sw=1477&sh=984&sl=W&fw=300&exp=3600,歐洲形象展台灣首發 搭起兩地產業橋樑,https://money.udn.com/money/story/5612/8021568?from=edn_hottestlist_rank,2024-06-10 18:00
經濟日報 記者尹慧中／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg,家登、京鼎攻微汙染監控,https://money.udn.com/money/story/5612/8021981?from=edn_hottestlist_rank,2024-06-11 03:02
經濟日報 記者吳凱中／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29797037.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600,樺漢新品加持 全年 AI 業務業績有望倍增,https://money.udn.com/money/story/5612/8022286?from=edn_hottestlist_rank,2024-06-11 09:04
經濟日報 記者鐘惠玲／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/06/realtime/29773946.jpg&s=Y&x=0&y=0&sw=1889&sh=1259&sl=W&fw=300&exp=3600,英特爾敵人愈來愈多 還能站穩 CPU 霸主地位嗎？,https://money.udn.com/money/story/11162/8021637?from=edn_hottestlist_rank,2024-06-10 19:19
經濟日報 記者吳凱中／台北即時報導,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg,振樺電股東會／訂單能見度看到未來兩季 短期毛利率持續4字頭,https://money.udn.com/money/story/5612/8022592?from=edn_hottestlist_rank,2024-06-11 10:51
經濟日報 記者黃淑惠／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29798027.jpg&s=Y&x=0&y=11&sw=1477&sh=984&sl=W&fw=300&exp=3600,大億股東會／通過現金股利0.7元 總座莊智清有信心全年獲利比去年好,https://money.udn.com/money/story/5612/8022786?from=edn_hottestlist_rank,2024-06-11 11:46
經濟日報 記者宋健生/台中即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/realtime/29794396.jpg&s=Y&x=54&y=0&sw=576&sh=384&sl=W&fw=300&exp=3600,太思科技投資威潤科技720萬美元 進軍印度汽車智能產業,https://money.udn.com/money/story/5612/8021523?from=edn_hottestlist_rank,2024-06-10 17:14
經濟日報 記者陳昱翔／台北即時報導,https://udn.com/upf/2017_news/noimg_cid1001_7.jpg,邁科攜手英特爾 搶攻 AI 散熱商機,https://money.udn.com/money/story/5612/8022475?from=edn_hottestlist_rank,2024-06-11 10:18
