src,date,title,url,pic_url
經濟日報 記者吳康瑋／台北即時報導,2024-06-03 19:02,英特爾夜宴供應鏈！執行長基辛格喊：台灣是科技業中心,https://money.udn.com/money/story/5612/8007118?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29755154.jpg&s=Y&x=0&y=11&sw=1477&sh=984&sl=W&fw=300&exp=3600
經濟日報 本報綜合報導,2024-06-04 02:59,超微秀新品帶旺台積 蘇姿丰：十年 AI 超級循環剛開始,https://money.udn.com/money/story/5612/8007607?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29755558.jpg&s=Y&x=0&y=0&sw=1889&sh=1259&sl=W&fw=300&exp=3600
經濟日報 本報即時報導,2024-06-03 23:47,黃仁勳鬆口 輝達五年內在台設立非常大的研究中心 聘用上千人,https://money.udn.com/money/story/5612/8007693?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_9.jpg
經濟日報 記者吳凱中／台北即時報導,2024-06-03 16:16,廣明旗下達明機器人攜 NVIDIA Isaac 技術 亮相 COMPUTEX,https://money.udn.com/money/story/5612/8006745?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29754155.png&s=Y&x=150&y=0&sw=1620&sh=1080&sl=W&fw=300&exp=3600
經濟日報 記者黃淑惠／台北即時報導,2024-06-03 16:10,"航海王台驊出手！買進長榮海運1,550張 平均每股202.59元",https://money.udn.com/money/story/5612/8006734?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/08/2/29629300.jpg&s=Y&x=0&y=0&sw=797&sh=531&sl=W&fw=300&exp=3600
經濟日報 記者林薏茹／台北即時報導,2024-06-03 16:32,緯創以輝達 Omniverse 建立工廠數位孿生 加速 GB200 生產,https://money.udn.com/money/story/5612/8006790?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg
經濟日報 記者尹慧中、蘇嘉維/新竹即時報導,2024-06-04 09:58,台積電股東會／劉德音談股票分拆：股價還沒那麼高 傾向多發股息給股東,https://money.udn.com/money/story/5612/8008135?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/24/2/29528622.jpg&s=Y&x=0&y=0&sw=1256&sh=837&sl=W&fw=300&exp=3600
經濟日報 記者林薏茹／台北即時報導,2024-06-03 21:07,英特爾基辛格同框劉揚偉 讚聲「富士康是全球供應鏈偉大的創新者」,https://money.udn.com/money/story/5612/8007338?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29755334.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 本報綜合報導,2024-06-04 02:40,AI PC 三雄尬場引爆熱潮 高通執行長艾蒙：PC 正在重生,https://money.udn.com/money/story/5612/8007628?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29755588.jpg&s=Y&x=380&y=156&sw=2073&sh=1382&sl=W&fw=300&exp=3600
經濟日報 記者彭慧明／即時報導,2024-06-03 17:12,王義川說資料「用膝蓋想」 藍白立委一起檢舉假新聞,https://money.udn.com/money/story/5612/8006894?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_5.jpg
經濟日報 記者陳昱翔／台北即時報導,2024-06-03 19:20,可成發聲明稿 質疑鐿鈦侵害股東權益,https://money.udn.com/money/story/5612/8007143?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/14/2/29658862.jpg&s=Y&x=0&y=89&sw=400&sh=267&sl=W&fw=300&exp=3600
經濟日報 記者陳昱翔／台北報導,2024-06-04 01:00,iPhone 16來了台鏈動起來 大立光、鴻海等添動能,https://money.udn.com/money/story/11162/8007474?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29751609.jpg&s=Y&x=0&y=0&sw=4000&sh=2666&sl=W&fw=300&exp=3600
經濟日報 記者江睿智／台北即時報導,2024-06-03 18:30,台版晶片法投抵首次上路 預計台積電、聯發科等共四家業者適用受惠,https://money.udn.com/money/story/5612/8007065?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/realtime/29709509.jpg&s=Y&x=0&y=0&sw=4000&sh=2667&sl=W&fw=300&exp=3600
經濟日報 記者吳凱中／台北報導,2024-06-04 02:20,黃仁勳兒女訪和碩智慧工廠,https://money.udn.com/money/story/11162/8007576?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg
經濟日報 記者葉卉軒／台北即時報導,2024-06-04 09:25,夢幻 CEO 排行榜出爐 第一名不是黃仁勳是「他」,https://money.udn.com/money/story/5612/8008016?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/2/29754873.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者吳凱中／台北報導,2024-06-04 02:23,和碩：加入 AI 領域永不嫌晚 董座童子賢喊不擔心沒客戶,https://money.udn.com/money/story/11162/8007578?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29755548.jpg&s=Y&x=656&y=748&sw=2648&sh=1765&sl=W&fw=300&exp=3600
經濟日報 記者林政鋒/高雄即時報導,2024-06-03 18:25,中鋼：景氣在起跑點 一定會復甦,https://money.udn.com/money/story/5612/8007060?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/02/realtime/29590668.jpg&s=Y&x=0&y=10&sw=1417&sh=944&sl=W&fw=300&exp=3600
