證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","11261872","1954032447","173.15","174.25","172.90","173.30","0.4500","12407"
"0051","元大中型100","105172","8598259","81.85","82.10","81.35","81.50","-0.3500","367"
"0052","富邦科技","713594","121265543","170.10","170.50","169.20","169.65","0.6500","879"
"0053","元大電子","13112","1234373","94.40","94.50","93.80","94.15","0.5000","110"
"0055","元大MSCI金融","384127","10377770","26.89","27.15","26.89","26.97","0.1000","459"
"0056","元大高股息","21211677","847327107","39.98","40.02","39.85","39.95","-0.0600","23528"
"0057","富邦摩台","12607","1611573","127.80","128.20","127.75","127.90","0.5500","73"
"0061","元大寶滬深","405322","6987403","17.35","17.35","17.18","17.19","-0.1600","230"
"006203","元大MSCI台灣","6534","538603","82.65","82.70","82.40","82.45","0.4500","109"
"006204","永豐臺灣加權","27714","3010169","108.60","109.00","108.55","108.60","0.2000","119"
"006205","富邦上証","1916499","56654807","29.84","29.91","29.47","29.49","-0.3200","481"
"006206","元大上證50","178506","5031487","28.35","28.44","28.01","28.16","-0.1900","134"
"006207","復華滬深","170156","3799666","22.43","22.43","22.27","22.31","-0.1600","89"
"006208","富邦台50","6226205","632022150","101.40","102.00","101.15","101.30","0.2500","9144"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","3018086","676550207","224.60","226.10","222.70","223.05","-0.6500","2540"
"00632R","元大台灣50反1","84085982","303785851","3.61","3.63","3.59","3.62","0.0000","3069"
"00633L","富邦上証正2","8100193","274243947","34.64","34.64","33.50","33.58","-0.7600","1661"
"00634R","富邦上証反1","905000","4207930","4.59","4.66","4.59","4.65","0.0600","41"
"00635U","期元大S&P黃金","963574","26245700","27.29","27.30","27.18","27.22","-0.9400","706"
"00636","國泰中國A50","2095961","43114976","20.67","20.75","20.42","20.48","-0.1800","517"
"00636K","國泰中國A50+U","200","1264","6.32","6.32","6.32","6.32","-0.1000","2"
"00637L","元大滬深300正2","76497522","1041215464","13.91","13.91","13.45","13.47","-0.3100","7654"
"00638R","元大滬深300反1","1253000","12167980","9.59","9.75","9.59","9.75","0.1300","59"
"00639","富邦深100","380835","3973889","10.49","10.50","10.40","10.45","-0.0400","178"
"00640L","富邦日本正2","1192300","70707096","59.35","59.70","58.85","58.95","1.2000","269"
"00641R","富邦日本反1","1872525","11876539","6.35","6.36","6.32","6.35","-0.0600","112"
"00642U","期元大S&P石油","5137174","89646843","17.46","17.50","17.40","17.43","0.4100","1325"
"00643","群益深証中小","933575","10697016","11.45","11.50","11.42","11.49","0.0500","151"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","797068","30793140","38.74","38.74","38.49","38.49","0.3900","379"
"00646","元大S&P500","3326166","180232392","54.10","54.25","54.10","54.15","0.1500","1425"
"00647L","元大S&P500正2","331261","28509839","85.95","86.30","85.95","86.15","0.0000","60"
"00648R","元大S&P500反1","737000","4150310","5.64","5.64","5.63","5.64","0.0000","28"
"00650L","復華香港正2","41586069","427557375","10.50","10.50","10.16","10.20","-0.3500","3393"
"00651R","復華香港反1","1284840","11218861","8.67","8.80","8.64","8.78","0.1500","124"
"00652","富邦印度","931352","35278543","37.45","38.03","37.45","38.00","0.5900","604"
"00653L","富邦印度正2","1290201","76915949","59.35","60.05","59.35","60.00","1.4500","515"
"00654R","富邦印度反1","630000","4181900","6.69","6.69","6.62","6.63","-0.0800","60"
"00655L","國泰中國A50正2","5100164","117830910","23.61","23.67","22.86","22.93","-0.5400","776"
"00656R","國泰中國A50反1","343000","2968590","8.62","8.75","8.61","8.75","0.1200","27"
"00657","國泰日經225","165147","7609917","46.08","46.12","46.01","46.10","0.7000","166"
"00657K","國泰日經225+U","200","2844","14.22","14.22","14.22","14.22","0.1400","2"
"00660","元大歐洲50","10110","367647","36.44","36.44","36.41","36.41","-0.3200","112"
"00661","元大日經225","728364","36621487","50.25","50.35","50.15","50.25","0.6600","261"
"00662","富邦NASDAQ","2347102","186388712","79.30","79.55","79.30","79.35","0.3000","1263"
"00663L","國泰臺灣加權正2","229051","47548436","206.20","207.85","205.50","205.50","-0.1500","16"
"00664R","國泰臺灣加權反1","6530120","26767069","4.09","4.12","4.08","4.11","0.0100","279"
"00665L","富邦恒生國企正2","87554118","595801438","6.95","6.95","6.72","6.75","-0.2100","5527"
"00666R","富邦恒生國企反1","389000","5725850","14.66","14.78","14.65","14.71","0.2200","47"
"00668","國泰美國道瓊","26271","1200919","45.73","45.73","45.70","45.71","-0.0200","90"
"00668K","國泰美國道瓊+U","200","2820","14.10","14.10","14.10","14.10","-0.0500","2"
"00669R","國泰美國道瓊反1","1974000","14210400","7.20","7.21","7.19","7.19","0.0300","88"
"00670L","富邦NASDAQ正2","550509","65777113","119.50","119.60","119.35","119.50","-0.1000","381"
"00671R","富邦NASDAQ反1","2402000","9358950","3.90","3.90","3.89","3.90","0.0100","121"
"00673R","期元大S&P原油反1","13835229","103428026","7.46","7.50","7.45","7.49","-0.1800","1077"
"00674R","期元大S&P黃金反1","1888595","20356540","10.76","10.81","10.76","10.79","0.3500","339"
"00675L","富邦臺灣加權正2","1648892","148037720","90.00","90.70","89.35","89.50","-0.3000","1378"
"00676R","富邦臺灣加權反1","5968975","13548240","2.27","2.28","2.26","2.27","0.0000","169"
"00678","群益那斯達克生技","486135","14141452","29.02","29.12","29.00","29.12","-0.0300","118"
"00680L","元大美債20正2","66097899","553451579","8.40","8.40","8.34","8.37","-0.3600","6590"
"00681R","元大美債20反1","680034","14069402","20.69","20.72","20.67","20.72","0.4600","77"
"00682U","期元大美元指數","20000","425500","21.26","21.29","21.26","21.28","0.2400","10"
"00683L","期元大美元指正2","96060","2212452","23.00","23.05","23.00","23.03","0.4400","55"
"00684R","期元大美元指反1","11000","168630","15.33","15.33","15.33","15.33","-0.1500","2"
"00685L","群益臺灣加權正2","521323","41813054","80.10","80.80","79.55","79.55","-0.4000","146"
"00686R","群益臺灣加權反1","580100","1417095","2.43","2.45","2.43","2.45","0.0100","31"
"00688L","國泰20年美債正2","30132276","250788800","8.30","8.35","8.29","8.33","-0.3600","3249"
"00689R","國泰20年美債反1","33000","706480","21.40","21.43","21.40","21.40","0.4500","9"
"00690","兆豐藍籌30","710438","23658911","33.44","33.44","33.21","33.25","-0.1500","522"
"00692","富邦公司治理","2556741","105937501","41.34","41.65","41.34","41.37","0.0400","1857"
"00693U","期街口S&P黃豆","345111","8214927","23.84","23.85","23.75","23.77","-0.2200","114"
"00700","富邦恒生國企","644766","8261515","12.97","12.97","12.75","12.81","-0.1900","236"
"00701","國泰股利精選30","1602253","44613659","27.71","27.96","27.71","27.82","0.0200","770"
"00702","國泰標普低波高息","104556","2442418","23.33","23.37","23.32","23.36","-0.0100","12"
"00703","台新MSCI中國","84158","1311874","15.66","15.66","15.55","15.59","-0.1500","80"
"00706L","期元大S&P日圓正2","6168430","37504201","6.09","6.09","6.07","6.07","-0.1200","878"
"00707R","期元大S&P日圓反1","1000","29900","29.90","29.90","29.90","29.90","0.0000","1"
"00708L","期元大S&P黃金正2","2283012","74813540","32.90","32.92","32.65","32.66","-2.4100","912"
"00709","富邦歐洲","25624","776088","30.28","30.31","30.28","30.30","0.0400","107"
"00710B","復華彭博非投等債","544069","10611338","19.48","19.54","19.48","19.51","0.0300","96"
"00711B","復華彭博新興債","249810","4103640","16.45","16.45","16.42","16.42","-0.1000","34"
"00712","復華富時不動產","30007004","288957715","9.64","9.64","9.61","9.63","-0.0800","7607"
"00713","元大台灣高息低波","12073174","702827052","58.10","58.45","57.90","58.25","0.0000","8785"
"00714","群益道瓊美國地產","129927","2514592","19.34","19.37","19.34","19.36","-0.0500","115"
"00715L","期街口布蘭特正2","50180643","783570444","15.62","15.66","15.51","15.60","0.5900","5334"
"00717","富邦美國特別股","123894","1970440","15.90","15.93","15.90","15.91","-0.0200","131"
"00728","第一金工業30","402453","12475452","31.04","31.10","30.88","30.88","-0.1600","180"
"00730","富邦臺灣優質高息","151573","3382915","22.35","22.38","22.25","22.36","0.0100","230"
"00731","復華富時高息低波","948867","70923514","74.50","74.95","74.30","74.70","-0.1000","1440"
"00733","富邦臺灣中小","2464028","145507680","59.00","59.25","58.85","59.05","0.0500","1782"
"00735","國泰臺韓科技","108125","3883126","35.92","36.01","35.91","35.93","-0.0700","101"
"00736","國泰新興市場","101438","2266347","22.34","22.35","22.34","22.35","-0.0300","6"
"00737","國泰AI+Robo","81496","2488951","30.66","30.66","30.50","30.54","-0.1500","131"
"00738U","期元大道瓊白銀","2739622","73898335","27.03","27.21","26.69","26.87","-2.0100","820"
"00739","元大MSCI A股","26815","558694","20.92","20.92","20.78","20.83","-0.1500","84"
"00752","中信中國50","12573363","233787685","18.77","18.80","18.54","18.58","-0.1800","1548"
"00753L","中信中國50正2","33783372","270848855","8.15","8.21","7.93","7.94","-0.2400","4016"
"00757","統一FANG+","2266776","188025965","82.90","83.05","82.75","83.00","0.1000","1667"
"00762","元大全球AI","285317","17824756","62.35","62.50","62.35","62.50","0.1500","553"
"00763U","期街口道瓊銅","611392","16970046","27.88","27.96","27.63","27.67","-0.8400","327"
"00770","國泰北美科技","428011","19269462","45.00","45.05","44.99","45.04","0.2200","510"
"00771","元大US高息特別股","25356","443384","17.47","17.50","17.47","17.50","0.0300","81"
"00775B","新光投等債15+","811095","27690403","34.09","34.15","34.09","34.14","-0.4100","20"
"00783","富邦中証500","167639","2987398","17.80","17.89","17.80","17.89","0.0500","20"
"00830","國泰費城半導體","9115571","445377916","48.63","48.92","48.63","48.85","0.5900","2601"
"00850","元大臺灣ESG永續","1601157","68930110","42.93","43.22","42.93","43.02","0.1300","1340"
"00851","台新全球AI","136924","6082610","44.39","44.48","44.39","44.42","0.0300","154"
"00852L","國泰美國道瓊正2","380100","8986701","23.65","23.68","23.58","23.65","-0.1600","73"
"00861","元大全球未來通訊","38689","1599833","41.04","41.05","41.00","41.03","0.0100","161"
"00865B","國泰US短期公債","276490","12560957","45.22","45.46","45.22","45.44","0.2200","108"
"00875","國泰網路資安","32097","1020162","31.84","31.84","31.75","31.78","0.1500","93"
"00876","元大全球5G","1109360","44824471","40.12","40.48","40.12","40.47","0.4200","356"
"00878","國泰永續高股息","51161293","1176461798","22.97","23.09","22.92","22.97","-0.0400","40618"
"00881","國泰台灣5G+","12109923","281321447","23.28","23.35","23.16","23.22","0.0600","2963"
"00882","中信中國高股息","43145120","510650894","12.06","12.06","11.74","11.76","-0.3000","11192"
"00885","富邦越南","7193316","88036659","12.25","12.31","12.16","12.16","-0.0900","1868"
"00891","中信關鍵半導體","6270075","115756999","18.51","18.58","18.39","18.45","-0.0600","2657"
"00892","富邦台灣半導體","4037239","65905687","16.35","16.37","16.25","16.36","0.0600","1113"
"00893","國泰智能電動車","2648089","57481417","21.80","21.80","21.68","21.69","-0.1400","979"
"00894","中信小資高價30","3443422","68346252","19.75","19.91","19.75","19.87","0.1600","282"
"00895","富邦未來車","1864874","51051521","27.33","27.49","27.33","27.34","0.0100","1187"
"00896","中信綠能及電動車","2367853","42402454","17.92","17.96","17.85","17.91","-0.0100","747"
"00897","富邦基因免疫生技","811406","6692116","8.28","8.28","8.24","8.24","-0.0700","214"
"00898","國泰基因免疫革命","701068","5040934","7.18","7.21","7.18","7.18","-0.0100","280"
"00899","FT潔淨能源","320054","5797899","18.40","18.40","18.09","18.09","-0.3300","182"
"00900","富邦特選高股息30","10525569","173660301","16.51","16.60","16.44","16.46","-0.1000","2048"
"00901","永豐智能車供應鏈","500616","9792078","19.51","19.62","19.49","19.56","0.0600","173"
"00902","中信電池及儲能","1841397","17884726","9.76","9.77","9.69","9.70","-0.0600","796"
"00903","富邦元宇宙","710275","9921290","13.95","13.99","13.95","13.97","-0.0100","254"
"00904","新光臺灣半導體30","1760520","31542781","17.97","18.00","17.85","17.87","-0.0600","372"
"00905","FT臺灣Smart","3145135","41342258","13.15","13.21","13.12","13.14","0.0100","646"
"00907","永豐優息存股","10107465","168495379","16.89","17.00","16.49","16.51","-0.3800","2344"
"00908","富邦入息REITs+","413296","5127702","12.40","12.42","12.40","12.40","-0.1800","100"
"00909","國泰數位支付服務","5329325","145565201","27.57","27.57","27.21","27.22","-0.5000","1814"
"00910","第一金太空衛星","170415","3009450","18.00","18.00","17.63","17.64","-0.3900","44"
"00911","兆豐洲際半導體","214068","6342951","29.42","29.70","29.42","29.64","0.2600","121"
