證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","3877932","660238032","169.30","170.80","169.30","170.60","-0.7000","6487"
"0051","元大中型100","34260","2763606","80.40","81.00","80.20","81.00","0.5000","239"
"0052","富邦科技","499787","83074471","164.50","167.20","164.50","166.85","-0.7500","605"
"0053","元大電子","9610","886960","92.35","92.70","91.95","92.70","0.2000","107"
"0055","元大MSCI金融","181905","4825190","26.50","26.61","26.37","26.50","-0.1100","328"
"0056","元大高股息","18134710","725517183","39.97","40.13","39.75","40.10","0.0900","10467"
"0057","富邦摩台","15028","1891868","126.05","126.25","125.85","126.25","-0.4500","88"
"0061","元大寶滬深","242366","4237985","17.55","17.55","17.45","17.47","-0.1100","178"
"006203","元大MSCI台灣","3875","313789","81.20","81.30","81.00","81.30","0.0000","90"
"006204","永豐臺灣加權","2563","274500","107.50","107.50","107.50","107.50","0.0500","77"
"006205","富邦上証","504245","15231713","30.20","30.35","30.15","30.18","-0.1400","210"
"006206","元大上證50","116300","3366049","28.98","29.01","28.86","28.91","-0.1200","113"
"006207","復華滬深","152915","3508377","23.03","23.08","22.90","22.91","-0.1400","73"
"006208","富邦台50","3815788","380492461","99.50","100.05","99.00","99.90","-0.3000","6538"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2068873","450544753","216.00","219.30","216.00","218.95","-0.6000","2198"
"00632R","元大台灣50反1","103339408","380029560","3.70","3.70","3.66","3.66","-0.0100","3652"
"00633L","富邦上証正2","5405568","194181071","35.90","36.39","35.72","35.72","-0.5400","1407"
"00634R","富邦上証反1","314000","1408740","4.49","4.51","4.47","4.51","0.0400","22"
"00635U","期元大S&P黃金","758234","20952660","27.63","27.69","27.58","27.69","-0.4300","427"
"00636","國泰中國A50","2431744","51118858","21.01","21.18","20.98","20.98","-0.1200","384"
"00636K","國泰中國A50+U","200","1306","6.53","6.53","6.53","6.53","-0.0600","2"
"00637L","元大滬深300正2","49006100","704812236","14.44","14.58","14.29","14.29","-0.2200","5925"
